"","countries[[i]]","accuracy","precision_value","sensitivity","specificity","prevalence","PPV","FDR","NPV","FOR","NER","f1score","cohen_kappa","mcc_man","auc_train1","auc_test","mcc_man.1","tn","fn","fp","tp"
"28","libya",0.950943396226415,0.885964912280702,1,0.920731707317073,0.381132075471698,0.885964912280702,0.114035087719298,1,0,0.381132075471698,0.93953488372093,0.898518278492945,0.903181037393518,0.963490099009901,0.960365853658537,0.903181037393518,151,0,13,101
"29","madagascar",0.979166666666667,0.87956204379562,1,0.975428145941921,0.152146464646465,0.87956204379562,0.12043795620438,1,0,0.152146464646465,0.935922330097087,0.923544520047039,0.926255674001757,0.986399058961917,0.98771407297096,0.926255674001757,1310,0,33,241
"30","malawi",0.964640198511166,0.770161290322581,1,0.959887403237157,0.11848635235732,0.770161290322581,0.229838709677419,1,0,0.11848635235732,0.870159453302961,0.850091037831276,0.859807025466482,0.983342784235895,0.979943701618578,0.859807025466482,1364,0,57,191
"31","mali",0.952321981424149,0.836170212765957,1,0.936988543371522,0.243343653250774,0.836170212765958,0.163829787234042,1,0,0.243343653250774,0.910776361529548,0.878598101188587,0.885145134805717,0.970361041141898,0.968494271685761,0.885145134805717,1145,0,77,393
"32","mauritania",0.88561872909699,0.344827586206897,1,0.878291814946619,0.0602006688963211,0.344827586206897,0.655172413793103,1,0,0.0602006688963211,0.512820512820513,0.464914759348215,0.550326490851855,0.938977771485205,0.93914590747331,0.550326490851855,1234,0,171,90
"33","mauritius",0.892086330935252,0.802631578947368,1,0.807692307692308,0.438848920863309,0.802631578947368,0.197368421052632,1,0,0.438848920863309,0.89051094890511,0.786613447958244,0.805157967250353,0.903186274509804,0.903846153846154,0.805157967250353,126,0,30,122
"34","morocco",0.94978028876334,0.909399773499434,1,0.89873417721519,0.504080351537979,0.909399773499434,0.0906002265005662,1,0,0.495919648462021,0.952550415183867,0.89947148378954,0.904051246996371,0.949652330672161,0.949367088607595,0.904051246996371,710,0,80,803
"35","mozambique",0.98978288633461,0.858407079646018,1,0.989108236895847,0.061941251596424,0.858407079646017,0.141592920353983,1,0,0.061941251596424,0.923809523809524,0.918367878855013,0.921443168669444,0.992485702886022,0.994554118447924,0.921443168669444,1453,0,16,97
"36","namibia",0.963827304550758,0.825842696629214,1,0.956338028169014,0.171528588098016,0.825842696629214,0.174157303370786,1,0,0.171528588098016,0.904615384615385,0.882547205262762,0.8886983605657,0.973495702005731,0.978169014084507,0.8886983605657,679,0,31,147
"37","niger",0.957364341085271,0.834170854271357,1,0.945723684210526,0.214470284237726,0.834170854271357,0.165829145728643,1,0,0.214470284237726,0.90958904109589,0.881991480396596,0.888197688334387,0.978737541528239,0.972861842105263,0.888197688334387,575,0,33,166
